bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
25592,63806,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2013-06-23,9892,1986,2013,559.0,3.2,214.0
6330,2410,lodi,OH,dpm9mv,dpm9mv6,dpm9mvb,41.03,-82.0101,41.0333333,-82.0122222,2003-05-01,1975-05-07,10221,2003,1975,411.0,3.19,215.0
5260,32636,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2006-06-28,11258,1975,2006,4.0,3.14,216.0
10919,21305,jacksonville,AR,9ynqrg,9ynqrgb,9ynqrgp,34.87,-92.12,34.8661111,-92.11,1975-09-15,2003-01-18,9987,1975,2003,1010.0,2.93,217.0
5260,50318,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2011-01-02,12907,1975,2011,4.0,2.75,218.0
51044,3400,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,1979-05-06,13218,2015,1979,24.0,2.67,219.0
528,7738,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1996-02-09,14132,1957,1996,0.0,2.52,220.0
5260,70136,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2014-04-29,14120,1975,2014,4.0,2.52,220.0
5260,70208,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2014-05-03,14124,1975,2014,4.0,2.52,220.0
528,8147,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1996-08-12,14317,1957,1996,0.0,2.49,221.0
528,9394,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1997-11-15,14777,1957,1997,0.0,2.41,222.0
528,11052,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1999-01-12,15200,1957,1999,0.0,2.35,223.0
528,10893,eureka (sighted from),CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1998-12-09,15166,1957,1998,0.0,2.35,223.0
528,12118,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1999-08-06,15406,1957,1999,0.0,2.31,224.0
10919,48867,jacksonville,AR,9ynqrg,9ynqrgb,9ynqrgp,34.87,-92.12,34.8661111,-92.11,1975-09-15,2010-08-27,12765,1975,2010,1010.0,2.31,224.0
528,15282,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2000-10-17,15844,1957,2000,0.0,2.25,225.0
528,17156,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2001-07-16,16116,1957,2001,0.0,2.21,226.0
6330,604,lodi,OH,dpm9mv,dpm9mv6,dpm9mvb,41.03,-82.0101,41.0333333,-82.0122222,2003-05-01,1962-08-08,14876,2003,1962,411.0,2.21,226.0
528,21106,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2002-12-23,16641,1957,2002,0.0,2.15,227.0
528,21727,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2003-04-05,16744,1957,2003,0.0,2.13,228.0
7815,325,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,1957-06-30,16844,2003,1957,0.0,2.12,229.0
528,24447,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2004-01-12,17026,1957,2004,0.0,2.1,230.0
528,24230,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2003-12-18,17001,1957,2003,0.0,2.1,230.0
528,24219,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2003-12-17,17000,1957,2003,0.0,2.1,230.0
528,26875,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,2004-09-15,17273,1957,2004,0.0,2.07,231.0
