uap_id,datetime,city,state_code,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,rounded_dt,date_str,hour_str,weather_cloud,weather_temp_f,weather_condition,condition_groups
,2013-10-10 21:00:00,kingsville (canada),,on,ca,,0.0,on going,Extremely fast multiple colored lights&#44 constantly moving and stopping back to its place of origin.  ((NUFORC Note:  Star?  PD)),10/14/2013,42.033333,-82.75,2013-10-10 21:00:00,2013-10-10,21,0.0,54.9,Clear,Clear
66359,2013-10-10 21:17:00,lost creek,WV,wv,us,triangle,45.0,45 seconds,Small triangle with 3 lights floating low over a field then slowly flying away.,10/14/2013,39.1611111,-80.3522222,2013-10-10 21:00:00,2013-10-10,21,21.0,55.0,Clear,Clear
66360,2013-10-10 21:30:00,hudson,NH,nh,us,light,1.0,1 second,Very white bright light moving fast inside clouds.,10/14/2013,42.7647222,-71.4402778,2013-10-10 22:00:00,2013-10-10,22,33.0,48.6,Partly cloudy,Cloudy
49462,2010-10-11 00:30:00,redondo beach,CA,ca,us,other,1200.0,20 min,three lights that changed colors rapidly suspended over the ocean that increased and decreased in intensity often,11/21/2010,33.8491667,-118.3875,2010-10-11 00:00:00,2010-10-11,0,0.0,66.4,Clear,Clear
,2010-10-11 04:00:00,moxee,,wa,,rectangle,1.0,1 sec and 1 sec,bow shockwave with rectangle craft it was hyperfast,11/21/2010,46.553733,-120.383162,2010-10-11 04:00:00,2010-10-11,4,2.0,41.5,Clear,Clear
49463,2010-10-11 04:50:00,albany,NY,ny,us,oval,120.0,2 min,Oval metallic object,11/21/2010,42.6525000,-73.7566667,2010-10-11 05:00:00,2010-10-11,5,12.0,44.2,Clear,Clear
49464,2010-10-11 06:20:00,west palm beach,FL,fl,us,sphere,2400.0,40 min,Electrical Sphere shape morning sky over Palm Beach Florida,11/21/2010,26.7052778,-80.0366667,2010-10-11 06:00:00,2010-10-11,6,0.0,75.7,Clear,Clear
49465,2010-10-11 12:30:00,orangevale,CA,ca,us,changing,2700.0,about 45 min,slowmoveing  fire ball in sky,11/21/2010,38.6786111,-121.2247222,2010-10-11 12:00:00,2010-10-11,12,2.0,89.1,Sunny,Clear
49466,2010-10-11 19:40:00,cottage grove,MN,mn,us,light,240.0,3-4 minutes,Craft with two white lights in Minneapolis Approach Pattern that moved down and not forward then disappered behind the tree line.,11/21/2010,44.8277778,-92.9436111,2010-10-11 20:00:00,2010-10-11,20,3.0,62.6,Clear,Clear
49467,2010-10-11 20:50:00,glendora,CA,ca,us,circle,60.0,1 min,I was north on a mountain facing south with my friend. We were star gazing and I looked up in the sky at about a 45 degree angle and sa,11/21/2010,34.1361111,-117.8644444,2010-10-11 21:00:00,2010-10-11,21,2.0,66.7,Clear,Clear
