bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
2779,55577,san diego (north coastal area),CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-02-11,11318,1981,2012,1.0,3.12,581.0
10653,29666,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2005-07-31,11357,1974,2005,3.0,3.11,582.0
2779,56332,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-04-09,11376,1981,2012,1.0,3.11,582.0
2779,55963,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-03-15,11351,1981,2012,1.0,3.11,582.0
10653,29904,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2005-08-27,11384,1974,2005,3.0,3.1,583.0
10653,29905,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2005-08-27,11384,1974,2005,3.0,3.1,583.0
1593,52070,parkland,WA,c22umb,c22umbr,c22umbr,47.15556,-122.4328,47.1555556,-122.4327778,1980-04-16,2011-07-04,11401,1980,2011,2.0,3.1,583.0
2779,56547,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-04-22,11389,1981,2012,1.0,3.1,583.0
2779,56812,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-05-12,11409,1981,2012,1.0,3.1,583.0
2779,57002,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-05-26,11423,1981,2012,1.0,3.1,583.0
1724,34659,bonney lake,WA,c23h7s,c23h7s7,c23h7s7,47.1772,-122.1852,47.1772222,-122.1852778,1975-10-11,2007-01-13,11417,1975,2007,6.0,3.09,584.0
18632,44538,barnwell,SC,djyjhs,djyjhsh,djyjhsh,33.245,-81.359,33.2447222,-81.3588889,1978-06-08,2009-07-10,11355,1978,2009,33.0,3.09,584.0
2779,57366,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-06-16,11444,1981,2012,1.0,3.09,584.0
2779,58546,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-08-03,11492,1981,2012,1.0,3.08,585.0
2779,58547,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-08-03,11492,1981,2012,1.0,3.08,585.0
2779,58796,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-08-11,11500,1981,2012,1.0,3.08,585.0
2779,58756,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-08-10,11499,1981,2012,1.0,3.08,585.0
2779,58737,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-08-09,11498,1981,2012,1.0,3.08,585.0
2779,58143,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-07-13,11471,1981,2012,1.0,3.08,585.0
2779,58410,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-07-27,11485,1981,2012,1.0,3.08,585.0
2779,58093,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-07-10,11468,1981,2012,1.0,3.08,585.0
2779,59683,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-09-21,11541,1981,2012,1.0,3.07,586.0
2779,59178,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-08-27,11516,1981,2012,1.0,3.07,586.0
2779,60194,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-10-18,11568,1981,2012,1.0,3.06,587.0
2779,59694,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-09-22,11542,1981,2012,1.0,3.06,587.0
2779,60017,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-10-09,11559,1981,2012,1.0,3.06,587.0
2779,60027,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-10-10,11560,1981,2012,1.0,3.06,587.0
39858,20753,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2002-11-02,11341,1971,2002,95.0,3.06,587.0
39858,20754,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2002-11-02,11341,1971,2002,95.0,3.06,587.0
1593,55318,parkland,WA,c22umb,c22umbr,c22umbr,47.15556,-122.4328,47.1555556,-122.4327778,1980-04-16,2012-01-21,11602,1980,2012,2.0,3.05,588.0
2779,61669,san diego (south park),CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-12-31,11642,1981,2012,1.0,3.04,589.0
2779,61577,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2012-12-27,11638,1981,2012,1.0,3.04,589.0
1564,12058,winlock,WA,c2286x,c2286x2,c2286x2,46.49139,-122.9367,46.4913889,-122.9366667,1967-08-18,1999-07-28,11667,1967,1999,3.0,3.03,590.0
2779,62197,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-02-22,11695,1981,2013,1.0,3.03,590.0
2779,62251,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-02-28,11701,1981,2013,1.0,3.02,591.0
2779,62559,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-03-30,11731,1981,2013,1.0,3.02,591.0
2779,62598,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-04-01,11733,1981,2013,1.0,3.02,591.0
2779,63117,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-05-13,11775,1981,2013,1.0,3.01,592.0
2779,63108,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-05-12,11774,1981,2013,1.0,3.01,592.0
10653,33699,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2006-10-16,11799,1974,2006,3.0,3.0,593.0
2779,63577,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-06-11,11804,1981,2013,1.0,3.0,593.0
39858,22563,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2003-08-01,11613,1971,2003,95.0,2.99,594.0
2779,64791,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-08-03,11857,1981,2013,1.0,2.99,594.0
2779,64273,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-07-07,11830,1981,2013,1.0,2.99,594.0
39858,22519,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2003-07-28,11609,1971,2003,95.0,2.99,594.0
1925,40237,twisp,WA,c2de4s,c2de4s6,c2de4s6,48.36361,-120.1211,48.3636111,-120.1211111,1976-01-30,2008-07-01,11841,1976,2008,1.0,2.99,594.0
2779,65154,san diego (pacific beach),CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-08-17,11871,1981,2013,1.0,2.98,595.0
2779,64935,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-08-08,11862,1981,2013,1.0,2.98,595.0
18632,49145,barnwell,SC,djyjhs,djyjhsh,djyjhsh,33.245,-81.359,33.2447222,-81.3588889,1978-06-08,2010-09-15,11787,1978,2010,33.0,2.98,595.0
2779,65563,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-09-04,11889,1981,2013,1.0,2.98,595.0
2779,65052,san diego (north of),CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-08-13,11867,1981,2013,1.0,2.98,595.0
2779,65054,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-08-13,11867,1981,2013,1.0,2.98,595.0
2779,65804,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-09-16,11901,1981,2013,1.0,2.98,595.0
2779,65652,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-09-09,11894,1981,2013,1.0,2.98,595.0
2779,66134,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2013-09-29,11914,1981,2013,1.0,2.97,596.0
39858,23750,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2003-11-05,11709,1971,2003,95.0,2.97,596.0
39858,24227,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2003-12-18,11752,1971,2003,95.0,2.96,597.0
