datetime,city,state,country,shape,duration_secs,comments,date posted,latitude,longitude,datetime_formatted,full_date,year,month,season,solar_kp_index,solar_ap_index,state_code,shape_group
2007-03-21 09:45:00,broadview heights,oh,us,triangle,300,Large black triangle observed close up flying away then reaapearing soon after.,4/27/2007,41.3138889,-81.6852778,2007-03-21 09:45,2007-03-21,2007,3,spring,1.0,4,OH,triangle
2007-03-21 19:45:00,denton,tx,us,changing,10800,Bright oval shaped craft/object white with red pulses from behind it 10 to 20 sec&#44 apart. Very close. Looked like it was in orbit..UFO?,4/27/2007,33.2147222,-97.1327778,2007-03-21 19:45,2007-03-21,2007,3,spring,1.0,4,TX,changing
2007-03-21 21:30:00,pittsburgh,pa,us,light,60,Two bright lights that did not move and that weren&#39t there a minute ago.,6/12/2007,40.4405556,-79.9961111,2007-03-21 21:30,2007-03-21,2007,3,spring,1.0,4,PA,light
2008-03-21 01:15:00,west monroe,la,us,flash,3600,Crazy UFOs moving in circular and zig-zagging formations&#44 very fast&#33,10/31/2008,32.5091667,-92.1191667,2008-03-21 01:15,2008-03-21,2008,3,spring,0.333,2,LA,light
2008-03-21 02:25:00,new braintree,ma,us,other,14,Black craft flew over the tree line in my back yard&#33,3/31/2008,42.3166667,-72.1263889,2008-03-21 02:25,2008-03-21,2008,3,spring,0.333,2,MA,other
2008-03-21 05:45:00,borden springs,al,us,cigar,120,Glowing cigar-shaped craft slides across predawn skies in Alabama.,3/31/2008,33.9297222,-85.4702778,2008-03-21 05:45,2008-03-21,2008,3,spring,0.333,2,AL,cigar
2008-03-21 05:45:00,orlando,fl,us,light,30,Early morning sighting of glowing blue object that dead falls&#44 stops&#44 then moves due north at an incredible speed,3/31/2008,28.5380556,-81.3794444,2008-03-21 05:45,2008-03-21,2008,3,spring,0.333,2,FL,light
2008-03-21 08:59:00,lexington,ky,us,triangle,180,Three blinking dots in the shape of a triangle...similar to the one sighted in pasco terxas on March 14,3/31/2008,37.9886111,-84.4777778,2008-03-21 08:59,2008-03-21,2008,3,spring,0.333,2,KY,triangle
2008-03-21 09:10:00,calabasas,ca,us,oval,15,shiny oval in sky that changed shape and then disappeared.,3/31/2008,34.1577778,-118.6375,2008-03-21 09:10,2008-03-21,2008,3,spring,0.333,2,CA,round
2008-03-21 12:55:00,charlotte,nc,us,circle,120,white circular object falls in behind commercial liner-middle of day,3/31/2008,35.2269444,-80.8433333,2008-03-21 12:55,2008-03-21,2008,3,spring,0.333,2,NC,round
